sample,method,radius_px,crop_w,crop_h,parasite_area_px2,cx,cy,x1,y1,x2,y2,rejection_log
1312132815-0001-G,fallback (median radius),167,334,334,10125.0,1198,1011,1031,844,1365,1178,"LAB rifiutato: area troppo piccola (15196 ≤ 18225) | Hough rifiutato: raggio Hough troppo piccolo (57px < 64px, probabilmente è il parassita)"
1312132815-0002-T,fallback (median radius),167,334,334,4334.0,1350,1024,1183,857,1517,1191,"LAB rifiutato: raggio stimato fuori range (254px, atteso 57–227px) | Hough rifiutato: raggio Hough troppo piccolo (44px < 64px, probabilmente è il parassita)"
1312132815-0003-G,fallback (median radius),167,334,334,8285.0,1124,987,957,820,1291,1154,"LAB rifiutato: area troppo piccola (10675 ≤ 14913) | Hough rifiutato: raggio Hough troppo piccolo (56px < 64px, probabilmente è il parassita)"
1312132815-0004-G,lab (lab+ellipse),126,252,252,6327.5,1404,1027,1300,877,1552,1129,
1312132815-0005-G,lab (lab+ellipse),89,178,178,8169.5,1112,829,1026,716,1204,894,
1312132815-0008-G,lab (lab+ellipse),133,266,266,11439.5,1325,1181,1169,1024,1435,1290,
1312132815-0009-G,hough,75,150,150,6998.5,1190,957,1108,868,1258,1018,LAB rifiutato: compattezza troppo bassa (0.182 < 0.25)
1312132815-0010-T,fallback (median radius),167,334,334,7736.0,1080,933,913,766,1247,1100,"LAB rifiutato: raggio stimato fuori range (357px, atteso 57–227px) | Hough rifiutato: raggio Hough troppo piccolo (53px < 64px, probabilmente è il parassita)"
1312132815-0011-S,lab (lab+ellipse),143,286,286,6439.0,1338,1129,1203,947,1489,1233,
1312132815-0012-S,lab (lab+ellipse),142,284,284,7986.5,1127,1111,1015,962,1299,1246,
1312132815-0013-S,lab (lab+ellipse),110,220,220,7006.0,1254,1204,1154,1064,1374,1284,
1312132815-0014-S,lab (lab+ellipse),129,258,258,9970.5,1183,1113,1060,972,1318,1230,
1312132815-0015-S,lab (lab+ellipse),128,256,256,8454.0,1218,1084,1057,956,1313,1212,
1312132815-0016-T,lab (lab+ellipse),76,152,152,4054.0,1123,933,1044,900,1196,1052,
