sample,method,radius_px,crop_w,crop_h,parasite_area_px2,cx,cy,x1,y1,x2,y2,rejection_log
1312132815-0001-G,lablab+ellipse,86,172,172,10125.0,1198,1011,1138,926,1310,1098,
1312132815-0002-T,fallback (median radius),167,334,334,4334.0,1350,1024,1183,857,1517,1191,"LAB rifiutato: axis_ration troppo alto (2.56>2.2) | Hough rifiutato: raggio Hough troppo piccolo (44px < 64px, probabilmente è il parassita)"
1312132815-0003-G,lablab+ellipse,71,142,142,8285.0,1124,987,1057,917,1199,1059,
1312132815-0004-G,lablab+ellipse,126,252,252,6327.5,1404,1027,1300,877,1552,1129,
1312132815-0005-G,lablab+ellipse,89,178,178,8169.5,1112,829,1026,716,1204,894,
1312132815-0008-G,lablab+ellipse,133,266,266,11439.5,1325,1181,1169,1024,1435,1290,
1312132815-0009-G,hough,75,150,150,6998.5,1190,957,1108,868,1258,1018,LAB rifiutato: solidity troppo bassa (0.621 < 0.68)
1312132815-0010-T,fallback (median radius),167,334,334,7736.0,1080,933,913,766,1247,1100,"LAB rifiutato: axis_ration troppo alto (5.26>2.2) | Hough rifiutato: raggio Hough troppo piccolo (53px < 64px, probabilmente è il parassita)"
1312132815-0011-S,lablab+ellipse,143,286,286,6439.0,1338,1129,1203,947,1489,1233,
1312132815-0012-S,lablab+ellipse,142,284,284,7986.5,1127,1111,1015,962,1299,1246,
1312132815-0013-S,fallback (median radius),167,334,334,7006.0,1254,1204,1087,1037,1421,1371,"LAB rifiutato: centroid_dist troppo alta (0.60 > 0.55) | Hough rifiutato: raggio Hough troppo piccolo (29px < 64px, probabilmente è il parassita)"
1312132815-0014-S,lablab+ellipse,129,258,258,9970.5,1183,1113,1060,972,1318,1230,
1312132815-0015-S,lablab+ellipse,128,256,256,8454.0,1218,1084,1057,956,1313,1212,
1312132815-0016-T,fallback (median radius),167,334,334,4054.0,1123,933,956,766,1290,1100,"LAB rifiutato: centroid_dist troppo alta (0.66 > 0.55) | Hough rifiutato: raggio Hough troppo piccolo (62px < 64px, probabilmente è il parassita)"
1312132815-0017-T,lablab+ellipse,141,282,282,8283.5,1283,1133,1153,991,1435,1273,
1401063467-0001-S,fallback (median radius),167,334,334,9102.0,1248,989,1081,822,1415,1156,"LAB rifiutato: axis_ration troppo alto (3.11>2.2) | Hough rifiutato: raggio Hough troppo piccolo (54px < 64px, probabilmente è il parassita)"
1401063467-0002-T,lablab+ellipse,151,302,302,5302.0,1214,1084,1034,901,1336,1203,
1401063467-0003-T,lablab+ellipse,166,332,332,4613.0,1247,953,1097,784,1429,1116,
1401063467-0004-R_T,lablab+ellipse,149,298,298,6979.0,2082,322,1899,175,2197,473,
1401063467-0005-T,fallback (median radius),167,334,334,4102.0,1104,963,937,796,1271,1130,"LAB rifiutato: axis_ration troppo alto (2.97>2.2) | Hough rifiutato: raggio Hough troppo piccolo (34px < 64px, probabilmente è il parassita)"
