sample,method,radius_px,crop_w,crop_h,parasite_area_px2,cx,cy,x1,y1,x2,y2
1707180816-0001-G_R,lab (lab+ellipse),156,312,312,14183.5,1081,591,929,413,1241,725
1707180816-0002-T,lab (lab+ellipse),98,196,196,7261.0,1415,834,1326,724,1522,920
1707180816-0003-T,lab (lab+ellipse),162,324,324,6661.0,1379,966,1219,783,1543,1107
1707180816-0004-R,lab (lab+ellipse),104,208,208,4973.5,1409,742,1287,638,1495,846
1707180816-0005-T,lab (lab+ellipse),178,356,356,9472.0,1441,918,1251,773,1607,1129
1707180816-0006-T,lab (lab+ellipse),167,334,334,9222.5,1511,755,1324,615,1658,949
1707180816-0007-T,lab (lab+ellipse),148,296,296,7466.0,1291,959,1214,809,1510,1105
1707180816-0008-G,lab (lab+ellipse),185,370,370,16997.0,1481,867,1292,722,1662,1092
1707180816-0009-T,lab (lab+ellipse),148,296,296,11814.0,1242,891,1094,734,1390,1030
1707180816-0010-T,lab (lab+ellipse),123,246,246,8561.0,1552,871,1427,788,1673,1034
1707180816-0011-R_T,lab (lab+ellipse),121,242,242,4202.0,1628,1183,1517,1100,1759,1342
1707180816-0012-T_R,lab (lab+ellipse),133,266,266,18597.5,438,1708,282,1581,548,1847
1707180816-0013-T,lab (lab+ellipse),148,296,296,9509.5,1349,1260,1221,1092,1517,1388
1707180816-0015-T,lab (lab+ellipse),168,336,336,14598.0,864,772,662,559,998,895
1707180816-0016-R,lab (lab+ellipse),127,254,254,7020.0,1127,653,991,549,1245,803
1707180816-0017-G,lab (lab+ellipse),146,292,292,18717.5,990,178,839,45,1131,337
1707180816-0018-G,lab (lab+ellipse),160,320,320,16046.0,1799,701,1639,536,1959,856
1707180816-0019-S,lab (lab+ellipse),250,500,500,7787.0,1414,920,1077,610,1577,1110
1707180816-0020-R_T,lab (lab+ellipse),167,334,334,10783.0,1339,646,1165,530,1499,864
1708161076-0001-R,lab (lab+ellipse),91,182,182,4501.5,1487,833,1387,744,1569,926
1708161076-0002-R,lab (lab+ellipse),126,252,252,3699.5,1366,595,1194,511,1446,763
1708161076-0003-R,lab (lab+ellipse),146,292,292,4124.5,1259,924,1137,779,1429,1071
1708161076-0004-R,lab (lab+ellipse),86,172,172,5606.5,1336,844,1240,752,1412,924
1708161076-0005-G,lab (lab+ellipse),167,334,334,14506.5,1227,1001,1059,850,1393,1184
1708161076-0006-R,lab (lab+ellipse),122,244,244,6798.0,1416,331,1285,240,1529,484
1708161076-0007-R,lab (lab+ellipse),136,272,272,3908.5,1287,783,1141,649,1413,921
1708161076-0008-G,hough,96,192,192,18018.0,1425,801,1340,697,1532,889
1708161076-0009-R,lab (lab+ellipse),132,264,264,2357.0,1729,497,1603,373,1867,637
1708161076-0010-G,lab (lab+ellipse),147,294,294,20391.5,990,699,825,562,1119,856
