subset,sample,gt_file,x1,y1,x2,y2,gt_pixels_total,gt_pixels_inside_crop,coverage,status
Malariae,1312132815-0001-G,1312132815-0001-G.jpg,1031,844,1365,1178,10346,10346,1.0,FULL_COVERAGE
Malariae,1312132815-0002-T,1312132815-0002-T.jpg,1183,857,1517,1191,4501,4501,1.0,FULL_COVERAGE
Malariae,1312132815-0003-G,1312132815-0003-G.jpg,957,820,1291,1154,8484,8484,1.0,FULL_COVERAGE
Malariae,1312132815-0004-G,1312132815-0004-G.jpg,1300,877,1552,1129,6503,6503,1.0,FULL_COVERAGE
Malariae,1312132815-0005-G,1312132815-0005-G.jpg,1026,716,1204,894,8397,8397,1.0,FULL_COVERAGE
Malariae,1312132815-0008-G,1312132815-0008-G.jpg,1169,1024,1435,1290,13362,11692,0.8750187097739859,PARTIAL
Malariae,1312132815-0009-G,1312132815-0009-G.jpg,1108,868,1258,1018,7282,7282,1.0,FULL_COVERAGE
Malariae,1312132815-0010-T,1312132815-0010-T.jpg,913,766,1247,1100,7966,7966,1.0,FULL_COVERAGE
Malariae,1312132815-0011-S,1312132815-0011-S.jpg,1203,947,1489,1233,6632,6632,1.0,FULL_COVERAGE
Malariae,1312132815-0012-S,1312132815-0012-S.jpg,1015,962,1299,1246,8199,8199,1.0,FULL_COVERAGE
Malariae,1312132815-0013-S,1312132815-0013-S.jpg,1154,1064,1374,1284,7207,7207,1.0,FULL_COVERAGE
Malariae,1312132815-0014-S,1312132815-0014-S.jpg,1060,972,1318,1230,10214,10214,1.0,FULL_COVERAGE
Malariae,1312132815-0015-S,1312132815-0015-S.jpg,1057,956,1313,1212,9854,8662,0.8790338948650295,PARTIAL
Malariae,1312132815-0016-T,1312132815-0016-T.jpg,1044,900,1196,1052,4245,4245,1.0,FULL_COVERAGE
Malariae,1312132815-0017-T,1312132815-0017-T.jpg,1153,991,1435,1273,8492,8492,1.0,FULL_COVERAGE
Malariae,1401063467-0001-S,1401063467-0001-S.jpg,1081,822,1415,1156,9343,9343,1.0,FULL_COVERAGE
Malariae,1401063467-0002-T,1401063467-0002-T.jpg,1034,901,1336,1203,5461,5461,1.0,FULL_COVERAGE
Malariae,1401063467-0003-T,1401063467-0003-T.jpg,1097,784,1429,1116,4763,4763,1.0,FULL_COVERAGE
Malariae,1401063467-0004-R_T,1401063467-0004-R_T.jpg,1915,155,2249,489,10596,7192,0.6787466968667422,PARTIAL
Malariae,1401063467-0005-T,1401063467-0005-T.jpg,863,711,1347,1195,4261,4261,1.0,FULL_COVERAGE
Malariae,1401063467-0006-T,1401063467-0006-T.jpg,1125,684,1459,1018,3827,3827,1.0,FULL_COVERAGE
Malariae,1401063467-0007-S,1401063467-0007-S.jpg,1011,965,1345,1299,8892,8892,1.0,FULL_COVERAGE
Malariae,1401063467-0008-S,1401063467-0008-S.jpg,944,774,1278,1108,8355,8355,1.0,FULL_COVERAGE
Malariae,1401063467-0009-T,1401063467-0009-T.jpg,1070,820,1308,1058,3058,3058,1.0,FULL_COVERAGE
Malariae,1401063467-0010-T,1401063467-0010-T.jpg,1004,820,1338,1154,7388,7388,1.0,FULL_COVERAGE
Malariae,1401063467-0011-G,1401063467-0011-G.jpg,1005,845,1339,1179,5612,5612,1.0,FULL_COVERAGE
Malariae,1401063467-0012-S,1401063467-0012-S.jpg,1121,987,1455,1321,7284,7284,1.0,FULL_COVERAGE
Malariae,1401063467-0013-T,1401063467-0013-T.jpg,1125,949,1459,1283,9166,9166,1.0,FULL_COVERAGE
Malariae,1401080976-0001-T,1401080976-0001-T.jpg,1053,1013,1313,1273,7684,7684,1.0,FULL_COVERAGE
Malariae,1401080976-0002-T,1401080976-0002-T.jpg,989,921,1353,1285,8022,8022,1.0,FULL_COVERAGE
Malariae,1401080976-0003-T,1401080976-0003-T.jpg,1438,1018,1774,1354,11533,7283,0.6314922396601058,PARTIAL
Malariae,1401080976-0004-T,1401080976-0004-T.jpg,1063,1026,1397,1360,2372,2372,1.0,FULL_COVERAGE
Malariae,1401080976-0005-T,1401080976-0005-T.jpg,1559,702,1893,1036,11190,7088,0.6334226988382484,PARTIAL
Malariae,1401080976-0006-T,1401080976-0006-T.jpg,1073,815,1407,1149,3799,3799,1.0,FULL_COVERAGE
Malariae,1401080976-0007-T,1401080976-0007-T.jpg,1006,704,1448,1146,8263,8263,1.0,FULL_COVERAGE
Malariae,1401080976-0008-T,1401080976-0008-T.jpg,1047,782,1409,1144,2874,2874,1.0,FULL_COVERAGE
Malariae,1401080976-0009-S_T,1401080976-0009-S_T.jpg,1137,1024,1461,1348,6432,3884,0.6038557213930348,PARTIAL
Ovale,1707180816-0001-G_R,1707180816-0001-G_R.jpg,929,413,1241,725,20862,14467,0.6934617965679225,PARTIAL
Ovale,1707180816-0002-T,1707180816-0002-T.jpg,1326,724,1522,920,7503,7503,1.0,FULL_COVERAGE
Ovale,1707180816-0003-T,1707180816-0003-T.jpg,1219,783,1543,1107,6875,6875,1.0,FULL_COVERAGE
Ovale,1707180816-0004-R,1707180816-0004-R.jpg,1287,638,1495,846,5159,5159,1.0,FULL_COVERAGE
Ovale,1707180816-0005-T,1707180816-0005-T.jpg,1251,773,1607,1129,9728,9728,1.0,FULL_COVERAGE
Ovale,1707180816-0006-T,1707180816-0006-T.jpg,1324,615,1658,949,9507,9507,1.0,FULL_COVERAGE
Ovale,1707180816-0007-T,1707180816-0007-T.jpg,1214,809,1510,1105,7696,7696,1.0,FULL_COVERAGE
Ovale,1707180816-0008-G,1707180816-0008-G.jpg,1292,722,1662,1092,17316,17316,1.0,FULL_COVERAGE
Ovale,1707180816-0009-T,1707180816-0009-T.jpg,1094,734,1390,1030,12129,12129,1.0,FULL_COVERAGE
Ovale,1707180816-0010-T,1707180816-0010-T.jpg,1427,788,1673,1034,8900,8900,1.0,FULL_COVERAGE
Ovale,1707180816-0011-R_T,1707180816-0011-R_T.jpg,1517,1100,1759,1342,4390,4390,1.0,FULL_COVERAGE
Ovale,1707180816-0012-T_R,1707180816-0012-T_R.jpg,282,1581,548,1847,25630,18971,0.7401872805306282,PARTIAL
Ovale,1707180816-0013-T,1707180816-0013-T.jpg,1221,1092,1517,1388,9788,9788,1.0,FULL_COVERAGE
Ovale,1707180816-0015-T,1707180816-0015-T.jpg,662,559,998,895,14947,14947,1.0,FULL_COVERAGE
Ovale,1707180816-0016-R,1707180816-0016-R.jpg,991,549,1245,803,7229,7229,1.0,FULL_COVERAGE
Ovale,1707180816-0017-G,1707180816-0017-G.jpg,839,45,1131,337,19097,19097,1.0,FULL_COVERAGE
Ovale,1707180816-0018-G,1707180816-0018-G.jpg,1639,536,1959,856,16362,16362,1.0,FULL_COVERAGE
Ovale,1707180816-0019-S,1707180816-0019-S.jpg,1077,610,1577,1110,7983,7983,1.0,FULL_COVERAGE
Ovale,1707180816-0020-R_T,1707180816-0020-R_T.jpg,1165,530,1499,864,15918,11057,0.6946224400050257,PARTIAL
Ovale,1708161076-0001-R,1708161076-0001-R.jpg,1387,744,1569,926,4693,4693,1.0,FULL_COVERAGE
Ovale,1708161076-0002-R,1708161076-0002-R.jpg,1194,511,1446,763,3866,3866,1.0,FULL_COVERAGE
Ovale,1708161076-0003-R,1708161076-0003-R.jpg,1137,779,1429,1071,4333,4333,1.0,FULL_COVERAGE
Ovale,1708161076-0004-R,1708161076-0004-R.jpg,1240,752,1412,924,5837,5837,1.0,FULL_COVERAGE
Ovale,1708161076-0005-G,1708161076-0005-G.jpg,1059,850,1393,1184,14762,14762,1.0,FULL_COVERAGE
Ovale,1708161076-0006-R,1708161076-0006-R.jpg,1285,240,1529,484,11797,7023,0.5953208442824447,PARTIAL
Ovale,1708161076-0007-R,1708161076-0007-R.jpg,1141,649,1413,921,4096,4096,1.0,FULL_COVERAGE
Ovale,1708161076-0008-G,1708161076-0008-G.jpg,1340,697,1532,889,18314,18314,1.0,FULL_COVERAGE
Ovale,1708161076-0009-R,1708161076-0009-R.jpg,1603,373,1867,637,2509,2509,1.0,FULL_COVERAGE
Ovale,1708161076-0010-G,1708161076-0010-G.jpg,825,562,1119,856,20741,20741,1.0,FULL_COVERAGE
