epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.8874372179443771,0.4534458571010166,1.0,1.0,1.0
2,0.29247255596491667,0.12538962662220002,1.0,1.0,1.0
3,0.18084559166753614,0.06478226002719667,1.0,1.0,1.0
4,0.10155953023884748,0.04389602695074346,1.0,1.0,1.0
5,0.03796047495829093,0.041604199177689025,1.0,1.0,1.0
6,0.02185612716418397,0.0317434747185972,1.0,1.0,1.0
7,0.02295713995893796,0.022809395090573364,1.0,1.0,1.0
8,0.011838778169607525,0.020558042037818167,1.0,1.0,1.0
9,0.018457045132579567,0.014320715392629305,1.0,1.0,1.0
10,0.02487163252390183,0.012046309808890024,1.0,1.0,1.0
