model,classifier,fold,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_val,split
radiomics,RF,fold1,0.8,0.7666666666666666,0.5,1.0,0.3833333333333333,0.8,0.42391304347826086,0.8695652173913043,0.6922186552431729,,2,val
radiomics,RF,fold1,0.9655172413793104,0.95,0.9705882352941176,0.9695740365111561,0.95,0.9655172413793104,0.9565972222222222,0.9646791187739463,0.9541140661025348,0.9981831395348838,4,test
radiomics,LR,fold1,0.7142857142857143,0.6666666666666666,0.5,1.0,0.3333333333333333,0.7142857142857143,0.375,0.7857142857142857,0.5970814340265321,,2,val
radiomics,LR,fold1,0.9310344827586207,0.9083333333333334,0.9246323529411764,0.9328093306288032,0.9083333333333334,0.9310344827586207,0.9131944444444444,0.9293582375478927,0.906572299922168,0.9942950581395349,4,test
radiomics,KNN_1,fold1,0.6857142857142857,0.6333333333333333,0.5,1.0,0.31666666666666665,0.6857142857142857,0.35526315789473684,0.7518796992481204,0.5672273623252055,,2,val
radiomics,KNN_1,fold1,0.8620689655172413,0.8083333333333333,0.8541666666666666,0.8706896551724138,0.8083333333333333,0.8620689655172413,0.8015873015873015,0.8440065681444991,0.8210841797950472,0.8812136627906977,4,test
radiomics,KNN_3,fold1,0.6857142857142857,0.6333333333333333,0.5,1.0,0.31666666666666665,0.6857142857142857,0.35526315789473684,0.7518796992481204,0.5672273623252055,,2,val
radiomics,KNN_3,fold1,0.8793103448275862,0.8333333333333333,0.875,0.8879310344827587,0.8333333333333333,0.8793103448275862,0.8333333333333333,0.867816091954023,0.8416962152091897,0.9461845930232557,4,test
radiomics,KNN_5,fold1,0.6857142857142857,0.6333333333333333,0.5,1.0,0.31666666666666665,0.6857142857142857,0.35526315789473684,0.7518796992481204,0.5687501230847872,,2,val
radiomics,KNN_5,fold1,0.9137931034482759,0.8916666666666667,0.9105113636363636,0.9134992163009404,0.8916666666666667,0.9137931034482759,0.8983079103109111,0.9115526007938767,0.8821623791866888,0.9736979166666666,4,test
radiomics,RF,fold2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,val
radiomics,RF,fold2,0.9655172413793104,0.95,0.9705882352941176,0.9695740365111561,0.95,0.9655172413793104,0.9565972222222222,0.9646791187739463,0.9541140661025348,0.9989583333333334,4,test
radiomics,LR,fold2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,val
radiomics,LR,fold2,0.9482758620689655,0.9333333333333333,0.9409722222222222,0.948515325670498,0.9333333333333333,0.9482758620689655,0.9363327674023769,0.9477489608336748,0.9293328567565733,0.9960998062015504,4,test
radiomics,KNN_1,fold2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2,val
radiomics,KNN_1,fold2,0.8103448275862069,0.7375,0.7114035087719298,0.7807017543859648,0.7375,0.8103448275862069,0.6992142266335815,0.7768032857020621,0.7539213106957451,0.838895559487698,4,test
radiomics,KNN_3,fold2,0.9166666666666666,0.875,0.6666666666666666,1.0,0.5833333333333334,0.9166666666666666,0.6190476190476191,0.9523809523809524,0.8366600265340756,,2,val
radiomics,KNN_3,fold2,0.8275862068965517,0.7583333333333333,0.7583333333333333,0.8137931034482759,0.7583333333333333,0.8275862068965517,0.7125,0.7873563218390806,0.783090082194448,0.8682447021402089,4,test
radiomics,KNN_5,fold2,0.875,0.8125,0.6666666666666666,1.0,0.5416666666666666,0.875,0.5897435897435898,0.923076923076923,0.7687061147858074,,2,val
radiomics,KNN_5,fold2,0.8103448275862069,0.75,0.7523003312476997,0.8012164786211974,0.75,0.8103448275862069,0.7234487193226878,0.7847626931363381,0.7525337943873,0.911827498314796,4,test
radiomics,RF,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,RF,fold3,0.9655172413793104,0.95,0.9705882352941176,0.9695740365111561,0.95,0.9655172413793104,0.9565972222222222,0.9646791187739463,0.9541140661025348,0.9994791666666667,4,test
radiomics,LR,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,LR,fold3,0.9482758620689655,0.9333333333333333,0.9409722222222222,0.948515325670498,0.9333333333333333,0.9482758620689655,0.9363327674023769,0.9477489608336748,0.9293328567565733,0.9960998062015504,4,test
radiomics,KNN_1,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,KNN_1,fold3,0.8275862068965517,0.7583333333333333,0.7516447368421053,0.8052404718693286,0.7583333333333333,0.8275862068965517,0.7110215053763441,0.7845754542083797,0.7804659762426416,0.8517268073811931,4,test
radiomics,KNN_3,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,KNN_3,fold3,0.8275862068965517,0.7583333333333333,0.7516447368421053,0.8052404718693286,0.7583333333333333,0.8275862068965517,0.7110215053763441,0.7845754542083797,0.7804659762426416,0.8858097931412201,4,test
radiomics,KNN_5,fold3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1,val
radiomics,KNN_5,fold3,0.8103448275862069,0.7416666666666667,0.7381977671451355,0.7866276192047518,0.7416666666666667,0.8103448275862069,0.6960677669417354,0.766700295763596,0.7555106061011216,0.9491279069767441,4,test
