epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,1.128845222361453,1.8126165662493026,0.4857142857142857,0.30630630630630634,0.425
2,0.2620985262297295,1.4201058660234724,0.6285714285714286,0.4358974358974359,0.575
3,0.08243308820434518,0.8596973146711077,0.7428571428571429,0.5369075369075369,0.7083333333333333
4,0.0279478462631101,0.4471736788749695,0.8857142857142857,0.6153846153846154,0.8666666666666667
5,0.02506535181456858,0.15367885189396993,0.9714285714285714,0.6551724137931035,0.9666666666666667
6,0.013782555774391235,0.05028081280844552,1.0,1.0,1.0
7,0.010225609079137579,0.03593206661088126,1.0,1.0,1.0
8,0.03152564005204686,0.02722456625529698,1.0,1.0,1.0
9,0.013663440183442723,0.02008097842335701,1.0,1.0,1.0
10,0.004140486923960952,0.02501582588468279,1.0,1.0,1.0
