epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.9059689490274451,0.49853505028618705,0.9444444444444444,0.4857142857142857,0.9444444444444444
2,0.16672935114167203,0.14315171705351937,0.9722222222222222,0.49295774647887325,0.9722222222222222
3,0.08417734516591861,0.05490078611506356,1.0,1.0,1.0
4,0.03553905312357278,0.026923016541534,1.0,1.0,1.0
5,0.015506031088017184,0.03547379167543517,1.0,1.0,1.0
6,0.02694336526181506,0.03240124922659662,1.0,1.0,1.0
7,0.005896416556989324,0.036576474292410746,1.0,1.0,1.0
8,0.006995371296659283,0.032422798996170364,1.0,1.0,1.0
9,0.012203914316735048,0.02045216949449645,1.0,1.0,1.0
10,0.002650703547051412,0.02441842895415094,1.0,1.0,1.0
