epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.8363284348173344,0.11998087912797928,1.0,1.0,1.0
2,0.14028301169263555,0.02376563847064972,1.0,1.0,1.0
3,0.07478971751604943,0.005895074922591448,1.0,1.0,1.0
4,0.031158159150088086,0.003970082383602858,1.0,1.0,1.0
5,0.0262359619299148,0.005051200743764639,1.0,1.0,1.0
6,0.013095930436665707,0.004154634196311235,1.0,1.0,1.0
7,0.02033709162013962,0.002045517321676016,1.0,1.0,1.0
8,0.013484402728128307,0.001533455098979175,1.0,1.0,1.0
9,0.005086378868114441,0.00140540418215096,1.0,1.0,1.0
10,0.006475645048107872,0.0013490208657458425,1.0,1.0,1.0
